일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1998-06-23 0:00,18.1,75.1,8.4,0
1998-06-23 1:00,18,79.3,7.7,0
1998-06-23 2:00,18.1,69.4,5.5,0
1998-06-23 3:00,18,82.1,7.4,0
1998-06-23 4:00,17.9,54.8,6.3,0
1998-06-23 5:00,18,81.9,8.2,0
1998-06-23 6:00,18.1,85.2,8.5,0
1998-06-23 7:00,18.1,75.1,7.6,0
1998-06-23 8:00,18.6,37.7,6.4,0
1998-06-23 9:00,19,45.1,4.8,0
1998-06-23 10:00,20.3,50.8,5.8,0
1998-06-23 11:00,20.9,36.5,4.6,0
1998-06-23 12:00,20.1,36.1,7.6,0
1998-06-23 13:00,22,56.7,4,0
1998-06-23 14:00,22.2,42.5,4.8,0
1998-06-23 15:00,21.6,98.2,7.5,0
1998-06-23 16:00,20.1,85.1,9.6,0
1998-06-23 17:00,19.7,86.6,9.8,0
1998-06-23 18:00,19.3,93.8,9,0
1998-06-23 19:00,18.8,91.2,9.1,0
1998-06-23 20:00,18.7,92.4,5.9,0
1998-06-23 21:00,18.5,85.8,6.6,0
1998-06-23 22:00,18.2,84.6,11.4,0
1998-06-23 23:00,18.4,50.8,4.3,0
1998-06-24 0:00,17.5,59.4,7.1,24
1998-06-24 1:00,17.1,340.9,2.6,24
1998-06-24 2:00,17.6,252.9,0.8,24
1998-06-24 3:00,18,71.7,4,24
1998-06-24 4:00,18.5,77.2,6.9,24
1998-06-24 5:00,18.1,94.1,9.5,24
1998-06-24 6:00,18.7,78.6,6,24
1998-06-24 7:00,18.7,88.4,7,24
1998-06-24 8:00,19,59.9,3.8,24
1998-06-24 9:00,19.3,42.7,4,24
1998-06-24 10:00,19.8,78.7,5.5,24
1998-06-24 11:00,20.3,88.3,6.7,24
1998-06-24 12:00,20.1,88.9,4.9,24
1998-06-24 13:00,21.1,84.3,6.6,24
1998-06-24 14:00,20.3,52.6,2.9,24
1998-06-24 15:00,19.7,342.6,2.9,24
1998-06-24 16:00,20.2,328.4,1.5,24
1998-06-24 17:00,19.8,328.6,1.4,24
1998-06-24 18:00,19.6,344,1.2,24
1998-06-24 19:00,19.7,0,0,24
1998-06-24 20:00,19.7,271.2,1.1,24
1998-06-24 21:00,19.8,222.5,0.3,24
1998-06-24 22:00,20,0,0,24
1998-06-24 23:00,20,0,0,24
1998-06-25 0:00,21.2,194.5,0.6,102.5
1998-06-25 1:00,21.2,168.3,0.4,102.5
1998-06-25 2:00,21,0,0.1,102.5
1998-06-25 3:00,21.2,265.6,0.3,102.5
1998-06-25 4:00,21.5,254.7,0.8,102.5
1998-06-25 5:00,21.8,274.9,0.9,102.5
1998-06-25 6:00,22,335.2,0.5,102.5
1998-06-25 7:00,23,314.3,1.1,102.5
1998-06-25 8:00,22.3,77.7,1.2,102.5
1998-06-25 9:00,23,6,0.6,102.5
1998-06-25 10:00,23.2,85.9,0.9,102.5
1998-06-25 11:00,22.3,,,102.5
1998-06-25 12:00,23.7,115.7,2.9,102.5
1998-06-25 13:00,22.9,88,1.5,102.5
1998-06-25 14:00,23.5,147.6,2.2,102.5
1998-06-25 15:00,24,28.1,1.7,102.5
