일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-06-01 0:00,18,307.5,0.5,0,67.6
2018-06-01 1:00,16.7,0,0.1,0,72.8
2018-06-01 2:00,16.7,0,0.4,0,74
2018-06-01 3:00,16.3,50.4,0.5,0,76
2018-06-01 4:00,16,28.9,0.6,0,76.3
2018-06-01 5:00,16.1,2.8,1.1,0,73.1
2018-06-01 6:00,16.2,33.1,0.9,0,73.1
2018-06-01 7:00,17.2,11.1,1.2,0,68.1
2018-06-01 8:00,21.4,0,0,0,59.6
2018-06-01 9:00,24.1,160.7,0.5,0,47.3
2018-06-01 10:00,25.7,188.9,3,0,39.5
2018-06-01 11:00,25.9,161.1,2.2,0,41.5
2018-06-01 12:00,26.3,192.7,3.4,0,35.9
2018-06-01 13:00,26.7,189,3.1,0,36.9
2018-06-01 14:00,27.1,179.8,2.7,0,39.4
2018-06-01 15:00,25.7,196.7,3.3,0,39.5
2018-06-01 16:00,24.9,168,2.5,0,37.4
2018-06-01 17:00,24.7,174.4,2.6,0,36.1
2018-06-01 18:00,23.8,180.9,2.4,0,37.9
2018-06-01 19:00,22.4,171.4,2,0,42.3
2018-06-01 20:00,20.5,166.8,0.6,0,45.5
2018-06-01 21:00,20.1,0,0.3,0,45.4
2018-06-01 22:00,20.2,0,0.1,0,46.5
2018-06-01 23:00,19,32.1,0.7,0,55.5
2018-06-02 0:00,18.9,17.8,1.6,0,57.2
2018-06-02 1:00,18.3,24.8,1,0,61
2018-06-02 2:00,18.4,27.8,1,0,60.4
2018-06-02 3:00,17.7,25.2,1,0,63.3
2018-06-02 4:00,17.4,23.4,1.1,0,64.9
2018-06-02 5:00,17.4,10.8,1.2,0,66.1
2018-06-02 6:00,17.8,0,0.3,0,66.5
2018-06-02 7:00,19.3,16.4,0.7,0,64.5
2018-06-02 8:00,23.9,0,0.3,0,52.6
2018-06-02 9:00,26.3,0,0.4,0,44.2
2018-06-02 10:00,28.2,241.4,0.7,0,35.3
2018-06-02 11:00,26.8,161.5,2.9,0,36.9
2018-06-02 12:00,28.1,147.5,3.3,0,36.2
2018-06-02 13:00,28.7,159.3,3.8,0,36.3
2018-06-02 14:00,28,165.1,3.6,0,38
2018-06-02 15:00,28.9,182,2.9,0,33.9
2018-06-02 16:00,28.6,184.8,2.6,0,35.8
2018-06-02 17:00,27.6,219.3,1.8,0,36.7
2018-06-02 18:00,26.5,205.1,1.9,0,38.2
2018-06-02 19:00,25.7,184.1,1.1,0,42
2018-06-02 20:00,24.1,0,0.1,0,49.4
2018-06-02 21:00,23.5,0,0.3,0,53
2018-06-02 22:00,22.8,10.1,0.7,0,56.7
2018-06-02 23:00,22.8,0,0.3,0,51.5
2018-06-03 0:00,21.9,0,0.4,0,59.3
2018-06-03 1:00,21,38.1,0.6,0,63.1
2018-06-03 2:00,20.7,0,0.4,0,65.9
2018-06-03 3:00,20.5,29.7,1,0,67.7
2018-06-03 4:00,19.5,25.4,0.5,0,72
2018-06-03 5:00,19.2,136.7,0.7,0,73.7
2018-06-03 6:00,19.1,13,1.1,0,75.9
2018-06-03 7:00,21.2,174.9,0.7,0,68.4
2018-06-03 8:00,24,184.3,0.7,0,54.9
2018-06-03 9:00,24.1,178.5,0.9,0,52.9
2018-06-03 10:00,25.1,259.5,0.5,0,48.4
2018-06-03 11:00,27,176,2.4,0,43.1
2018-06-03 12:00,29.2,203.7,2.4,0,37.1
2018-06-03 13:00,29.1,195.8,3.4,0,35.4
